"id","name","abv","ibu","target_fg","target_og","ebc","srm","ph","partition_0","partition_1","partition_2","partition_3"
"22","""Devine Rebel (w/ Mikkeller)""","12.5","100","1030","1093.0","36.0","18.0","4.4","2021","02","10","03"
"227","""Brewdog Vs Beavertown""","9.2","50","1085","1016.0","78.8","40.0","4.2","2021","02","10","06"
"99","""Hello My Name Is Päivi""","8.3","70","1013","1076.0","30.0","15.0","4.4","2021","02","10","01"
"7","""AB:12""","11.2","35","1017","1108.0","80.0","40.0","5.3","2021","02","10","02"
"76","""#Mashtag 2013""","7.5","50","1013","1070.0","40.0","20.0","4.4","2021","02","10","09"
"40","""Hello My Name is Vladimir""","8.2","70","1013","1076.0","16.0","8.0","4.4","2021","02","10","12"
"310","""Clockwork Tangerine""","4.5","37","1012","1047.0","20.0","10.0","4.2","2021","02","10","12"
"295","""Choco Libre""","9.0","25","1020","1086.0","190.0","96.0","4.2","2021","02","10","08"
"24","""The End Of History""","55.0",,"1000","1112.0",,,"4.4","2021","02","10","10"
"207","""International Arms Race (w/ Flying Dog)""","7.5","0","1013","1069.0","50.0","25.0","4.4","2021","02","10","02"
"299","""Raspberry Popsicle Parade""","0.5","8","1005","1009.0","8.0","4.0","3.5","2021","02","10","11"
"37","""Zephyr""","12.5","125","1016","1087.0","40.0","20.0","4.4","2021","02","10","07"
"39","""Kohatu - IPA Is Dead""","7.2","70","1012","1067.0","30.0","15.0","4.4","2021","02","10","13"
"181","""Vic Secret""","7.4","70","1012","1069.0","30.0","15.0","4.4","2021","02","10","11"
"86","""Original Dogma (Née Speedball)""","7.8","60","1012","1071.3","31.0","15.5","4.3","2021","02","10","04"
"277","""Prototype Blonde Ale""","4.5","15","1009","1044.0","12.0","6.0","4.6","2021","02","10","02"
"275","""Sidewalk Shark""","5.2","22","1008","1055.0","7.0","4.0","3.8","2021","02","10","06"
"196","""Catherine's Pony (w/ Beavertown)""","8.8","40","1017","1084.0","190.0","95.0","4.5","2021","02","10","13"
"228","""Prototype Helles""","4.9","18","1047","1010.0","13.0","6.6","4.2","2021","02","10","05"
"122","""Dog Fight (w/ Flying Dog)""","8.5","65","1012","1078.0","31.2","15.6","4.4","2021","02","10","12"
"48","""Goldings - IPA Is Dead""","6.7","70","1015","1066.0","30.0","15.0","4.4","2021","02","10","08"
"300","""Indie Pale Ale""","4.2","30","1008","1044.0","16.6","8.0","4.6","2021","02","10","01"
"28","""HBC 369""","6.7","67","1064","1013.0","19.0","9.5","4.4","2021","02","10","11"
"208","""Sunshine On Rye - B-Sides""","7.2","130","1010","1065.0","14.0","7.0","5.2","2021","02","10","10"
"186","""Jasmine IPA""","5.8","40","1014","1060.0","35.0","17.5","4.4","2021","02","10","10"
"286","""Hello My Name Is Aune""","8.2","70","1009","1070.0","15.0","8.0","4.4","2021","02","10","10"
"1","""Buzz""","4.5","60","1010","1044.0","20.0","10.0","4.4","2021","02","10","07"
"198","""AB:01""","10.2","20","1018","1095.0","16.0","8.0","4.1","2021","02","10","02"
"265","""Pump Action Poet""","7.5","40","1013","1070.0","12.0","6.0","5.2","2021","02","10","02"
"155","""Old World Russian Imperial Stout""","9.5","80","1014","1075.0","195.0","97.5","4.5","2021","02","10","04"
"48","""Goldings - IPA Is Dead""","6.7","70","1015","1066.0","30.0","15.0","4.4","2021","02","10","03"
"221","""Blitz Series""","3.2","8","1032","1007.0","8.0","3.0","3.2","2021","02","10","08"
"18","""Russian Doll – India Pale Ale""","6.0","70","1012","1058.0","25.0","12.5","5.2","2021","02","10","03"
"276","""Nine To Five Wizard""","7.5","35","1012","1069.0","20.0","10.0","4.3","2021","02","10","08"
"193","""Blitz Berliner Weisse""","3.0","8","1040","1007.0","9.0","4.5","3.2","2021","02","10","01"
"8","""Fake Lager""","4.7","40","1010","1046.0","12.0","6.0","4.4","2021","02","10","01"
"280","""Make Earth Great Again""","7.5","35","1004","1065.0","9.0","5.0","4.6","2021","02","10","06"
"11","""Misspent Youth""","7.3","30","1020","1079.0","120.0","60.0","4.4","2021","02","10","07"
"1","""Buzz""","4.5","60","1010","1044.0","20.0","10.0","4.4","2021","02","10","08"
"161","""Tokyo Rising Sun - Highland""","13.2","85","1023","1125.0","140.0","71.0","4.4","2021","02","10","09"
"86","""Original Dogma (Née Speedball)""","7.8","60","1012","1071.3","31.0","15.5","4.3","2021","02","10","02"
"97","""Bowman's Beard - B-Sides""","18.3","50","1011","1067.0","15.0","8.0","5.3","2021","02","10","08"
"250","""Small Batch: Rye IPA""","7.2","100","1010","1065.0","8.0","16.0","4.4","2021","02","10","09"
"179","""How To Disappear Completely""","3.5","198","1010","1037.0","37.0","19.0","4.4","2021","02","10","06"
"322","""Jet Trash""","6.9","65","1008","1060.0","18.0","9.0","4.6","2021","02","10","05"
"266","""Small Batch: Lemon Meringue Pie""","6.5","5","1015","1066.0","7.0","4.0","4.0","2021","02","10","08"
"255","""Small Batch: Tripel""","13.0","50","1008","1110.0","23.0","11.6","5.1","2021","02","10","04"
"239","""#Mashtag 2016""","10.5","100","1010","1090.0","15.0","8.0","4.4","2021","02","10","10"
"156","""Hoppy Christmas""","7.2","70","1012","1067.0","30.0","15.0","4.4","2021","02","10","13"
"158","""Hello My Name Is Zé (w/ 2Cabeças)""","6.4","50","1012","1061.0","20.0","10.0","4.4","2021","02","10","06"
"221","""Blitz Series""","3.2","8","1032","1007.0","8.0","3.0","3.2","2021","02","10","03"
"115","""Melon And Cucumber IPA - B-Sides""","6.0","50","1010","1050.0","8.0","4.0","5.2","2021","02","10","05"
